,Description (2018 Census Occupation Code),2018 Census PUMS Occupation Code
"electric motor, power tool, and related repairers","electric motor, power tool, and related repairers",7040
"other electrical and electronic equipment mechanics, installers, and repairers","other electrical and electronic equipment mechanics, installers, and repairers",7100
"electrical and electronics installers and repairers, transportation equipment"," electrical and electronics installers and repairers, transportation equipment",7050
"electrical and electronics repairers, commercial and industrial equipment","electrical and electronics repairers, commercial and industrial equipment",7100
"electrical and electronics repairers, powerhouse, substation, and relay","electrical and electronics repairers, powerhouse, substation, and relay",7100
"electronic equipment installers and repairers, motor vehicles"," electronic equipment installers and repairers, motor vehicles",7110
audiovisual equipment installers and repairers,audiovisual equipment installers and repairers,7120
security and fire alarm systems installers,security and fire alarm systems installers,7130
aircraft mechanics and service technicians,aircraft mechanics and service technicians,7140
automotive body and related repairers,automotive body and related repairers,7150
automotive glass installers and repairers,automotive glass installers and repairers,7160
automotive service technicians and mechanics,automotive service technicians and mechanics,7200
bus and truck mechanics and diesel engine specialists,bus and truck mechanics and diesel engine specialists,7210
heavy vehicle and mobile equipment service technicians and mechanics,heavy vehicle and mobile equipment service technicians and mechanics,7220
small engine mechanics,small engine mechanics,7240
"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers","miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260
control and valve installers and repairers,control and valve installers and repairers,7300
"heating, air conditioning, and refrigeration mechanics and installers","heating, air conditioning, and refrigeration mechanics and installers",7315
home appliance repairers,home appliance repairers,7320
industrial and refractory machinery mechanics,industrial and refractory machinery mechanics,7330
industrial machinery mechanics,industrial machinery mechanics,7330
"refractory materials repairers, except brickmasons","refractory materials repairers, except brickmasons",7330
"maintenance and repair workers, general","maintenance and repair workers, general",7340
"maintenance workers, machinery","maintenance workers, machinery",7350
millwrights,millwrights,7360
electrical power-line installers and repairers,electrical power-line installers and repairers,7410
telecommunications line installers and repairers,telecommunications line installers and repairers,7420
precision instrument and equipment repairers,precision instrument and equipment repairers,7430
"coin, vending, and amusement machine servicers and repairers","coin, vending, and amusement machine servicers and repairers",7510
locksmiths and safe repairers,locksmiths and safe repairers,7540
riggers,riggers,7560
"helpers--installation, maintenance, and repair workers","helpers--installation, maintenance, and repair workers",7610
"other installation, maintenance, and repair workers","other installation, maintenance, and repair workers",7640
wind turbine service technicians, wind turbine service technicians,7440
commercial divers, commercial divers,7520
